afghanistan,locatedin,asia
afghanistan,locatedin,southern_asia
afghanistan,neighbor,china
afghanistan,neighbor,iran
afghanistan,neighbor,pakistan
afghanistan,neighbor,tajikistan
afghanistan,neighbor,turkmenistan
afghanistan,neighbor,uzbekistan
albania,locatedin,europe
albania,locatedin,southern_europe
albania,neighbor,greece
albania,neighbor,kosovo
albania,neighbor,macedonia
albania,neighbor,montenegro
algeria,locatedin,africa
algeria,locatedin,northern_africa
algeria,neighbor,libya
algeria,neighbor,mali
algeria,neighbor,mauritania
algeria,neighbor,morocco
algeria,neighbor,niger
algeria,neighbor,tunisia
algeria,neighbor,western_sahara
american_samoa,locatedin,oceania
american_samoa,locatedin,polynesia
andorra,locatedin,southern_europe
andorra,neighbor,france
andorra,neighbor,spain
angola,locatedin,africa
angola,locatedin,middle_africa
angola,neighbor,dr_congo
angola,neighbor,namibia
angola,neighbor,republic_of_the_congo
angola,neighbor,zambia
anguilla,locatedin,americas
anguilla,locatedin,caribbean
antigua_and_barbuda,locatedin,americas
antigua_and_barbuda,locatedin,caribbean
argentina,locatedin,americas
argentina,locatedin,south_america
argentina,neighbor,bolivia
argentina,neighbor,brazil
argentina,neighbor,chile
argentina,neighbor,paraguay
argentina,neighbor,uruguay
armenia,locatedin,asia
armenia,locatedin,western_asia
armenia,neighbor,azerbaijan
armenia,neighbor,georgia
armenia,neighbor,iran
armenia,neighbor,turkey
aruba,locatedin,americas
aruba,locatedin,caribbean
australia,locatedin,australia_and_new_zealand
australia,locatedin,oceania
australia_and_new_zealand,locatedin,oceania
austria,locatedin,europe
austria,locatedin,western_europe
austria,neighbor,czechia
austria,neighbor,germany
austria,neighbor,hungary
austria,neighbor,italy
austria,neighbor,liechtenstein
austria,neighbor,slovakia
austria,neighbor,slovenia
austria,neighbor,switzerland
azerbaijan,locatedin,asia
azerbaijan,locatedin,western_asia
azerbaijan,neighbor,armenia
azerbaijan,neighbor,georgia
azerbaijan,neighbor,iran
azerbaijan,neighbor,russia
azerbaijan,neighbor,turkey
bahamas,locatedin,americas
bahamas,locatedin,caribbean
bahrain,locatedin,asia
bahrain,locatedin,western_asia
bangladesh,locatedin,southern_asia
bangladesh,neighbor,india
bangladesh,neighbor,myanmar
barbados,locatedin,americas
barbados,locatedin,caribbean
belarus,locatedin,eastern_europe
belarus,locatedin,europe
belarus,neighbor,latvia
belarus,neighbor,lithuania
belarus,neighbor,poland
belarus,neighbor,russia
belarus,neighbor,ukraine
belgium,locatedin,western_europe
belgium,neighbor,france
belgium,neighbor,germany
belgium,neighbor,luxembourg
belgium,neighbor,netherlands
belize,locatedin,americas
belize,locatedin,central_america
belize,neighbor,guatemala
belize,neighbor,mexico
benin,locatedin,africa
benin,locatedin,western_africa
benin,neighbor,burkina_faso
benin,neighbor,niger
benin,neighbor,nigeria
benin,neighbor,togo
bermuda,locatedin,americas
bermuda,locatedin,northern_america
bhutan,locatedin,asia
bhutan,locatedin,southern_asia
bhutan,neighbor,china
bhutan,neighbor,india
bolivia,locatedin,americas
bolivia,locatedin,south_america
bolivia,neighbor,argentina
bolivia,neighbor,brazil
bolivia,neighbor,chile
bolivia,neighbor,paraguay
bolivia,neighbor,peru
bosnia_and_herzegovina,locatedin,southern_europe
bosnia_and_herzegovina,neighbor,croatia
bosnia_and_herzegovina,neighbor,montenegro
bosnia_and_herzegovina,neighbor,serbia
botswana,locatedin,africa
botswana,locatedin,southern_africa
botswana,neighbor,namibia
botswana,neighbor,south_africa
botswana,neighbor,zambia
botswana,neighbor,zimbabwe
brazil,locatedin,south_america
brazil,neighbor,argentina
brazil,neighbor,bolivia
brazil,neighbor,colombia
brazil,neighbor,french_guiana
brazil,neighbor,guyana
brazil,neighbor,paraguay
brazil,neighbor,peru
brazil,neighbor,suriname
brazil,neighbor,uruguay
brazil,neighbor,venezuela
british_indian_ocean_territory,locatedin,africa
british_indian_ocean_territory,locatedin,eastern_africa
british_virgin_islands,locatedin,americas
british_virgin_islands,locatedin,caribbean
brunei,locatedin,asia
brunei,locatedin,south-eastern_asia
brunei,neighbor,malaysia
bulgaria,locatedin,eastern_europe
bulgaria,locatedin,europe
bulgaria,neighbor,greece
bulgaria,neighbor,macedonia
bulgaria,neighbor,romania
bulgaria,neighbor,serbia
bulgaria,neighbor,turkey
burkina_faso,locatedin,africa
burkina_faso,locatedin,western_africa
burkina_faso,neighbor,benin
burkina_faso,neighbor,ghana
burkina_faso,neighbor,ivory_coast
burkina_faso,neighbor,mali
burkina_faso,neighbor,niger
burkina_faso,neighbor,togo
burundi,locatedin,eastern_africa
burundi,neighbor,dr_congo
burundi,neighbor,rwanda
burundi,neighbor,tanzania
cambodia,locatedin,asia
cambodia,locatedin,south-eastern_asia
cambodia,neighbor,laos
cambodia,neighbor,thailand
cambodia,neighbor,vietnam
cameroon,locatedin,africa
cameroon,locatedin,middle_africa
cameroon,neighbor,central_african_republic
cameroon,neighbor,chad
cameroon,neighbor,equatorial_guinea
cameroon,neighbor,gabon
cameroon,neighbor,nigeria
cameroon,neighbor,republic_of_the_congo
canada,locatedin,northern_america
canada,neighbor,united_states
cape_verde,locatedin,africa
cape_verde,locatedin,western_africa
caribbean,locatedin,americas
cayman_islands,locatedin,americas
cayman_islands,locatedin,caribbean
central_african_republic,locatedin,africa
central_african_republic,locatedin,middle_africa
central_african_republic,neighbor,cameroon
central_african_republic,neighbor,chad
central_african_republic,neighbor,dr_congo
central_african_republic,neighbor,republic_of_the_congo
central_african_republic,neighbor,south_sudan
central_african_republic,neighbor,sudan
central_america,locatedin,americas
central_asia,locatedin,asia
central_europe,locatedin,europe
chad,locatedin,africa
chad,locatedin,middle_africa
chad,neighbor,cameroon
chad,neighbor,central_african_republic
chad,neighbor,libya
chad,neighbor,niger
chad,neighbor,nigeria
chad,neighbor,south_sudan
chile,locatedin,americas
chile,locatedin,south_america
chile,neighbor,argentina
chile,neighbor,bolivia
chile,neighbor,peru
china,locatedin,asia
china,locatedin,eastern_asia
china,neighbor,afghanistan
china,neighbor,bhutan
china,neighbor,hong_kong
china,neighbor,india
china,neighbor,kazakhstan
china,neighbor,kyrgyzstan
china,neighbor,laos
china,neighbor,macau
china,neighbor,mongolia
china,neighbor,myanmar
china,neighbor,north_korea
china,neighbor,pakistan
china,neighbor,russia
china,neighbor,tajikistan
china,neighbor,vietnam
christmas_island,locatedin,australia_and_new_zealand
christmas_island,locatedin,oceania
cocos_keeling_islands,locatedin,australia_and_new_zealand
cocos_keeling_islands,locatedin,oceania
colombia,locatedin,south_america
colombia,neighbor,brazil
colombia,neighbor,ecuador
colombia,neighbor,panama
colombia,neighbor,peru
